Date,Close
12/21/2018,42.17
12/26/2018,44.91
12/27/2018,44.6
12/28/2018,45.43
12/31/2018,48.87
1/2/2019,47.12
1/3/2019,45.13
1/4/2019,46.02
1/7/2019,46.32
1/8/2019,46.87
1/9/2019,46.94
1/10/2019,45.19
1/11/2019,44.47
1/14/2019,42.8
1/15/2019,43.01
1/16/2019,42.62
1/17/2019,43.71
1/18/2019,43.35
1/22/2019,44.06
1/23/2019,44.62
1/24/2019,44.96
1/25/2019,45.91
1/28/2019,46.9
1/29/2019,46.85
1/30/2019,48
1/31/2019,48.59
2/1/2019,49.65
2/4/2019,50.83
2/5/2019,51.07
2/6/2019,50.94
2/7/2019,50.44
2/8/2019,51.49
2/11/2019,52.02
2/12/2019,53.6
2/13/2019,53.95
2/14/2019,54.38
2/15/2019,55
2/19/2019,55.04
2/20/2019,55.54
2/21/2019,55.54
2/22/2019,56.18
2/25/2019,56.64
2/26/2019,56.73
2/27/2019,56.25
2/28/2019,55.82
3/1/2019,56.65
3/4/2019,55.34
3/5/2019,55.12
3/6/2019,53.73
3/7/2019,53.13
3/8/2019,52.35
3/11/2019,54.15
3/12/2019,54.7
3/13/2019,54.95
3/14/2019,57.18
3/15/2019,60.23
3/18/2019,60.49
3/19/2019,60.44
3/20/2019,59.63
3/21/2019,60.71
3/22/2019,59.55
3/25/2019,57.29
3/26/2019,58.89
3/27/2019,57.54
3/28/2019,56.92
3/29/2019,58.69
4/1/2019,60.43
4/2/2019,61.27
4/3/2019,61.59
4/4/2019,60.34
4/5/2019,62.2
4/8/2019,62.49
4/9/2019,61.73
4/10/2019,63.29
4/11/2019,63.86
4/12/2019,63.51
4/15/2019,63.88
4/16/2019,62.79
4/17/2019,62.75
4/18/2019,62.85
4/22/2019,63.25
4/23/2019,65
4/24/2019,66.25
4/25/2019,67
4/26/2019,65.36
4/29/2019,65.55
4/30/2019,67.41
5/1/2019,68.58
5/2/2019,68.14
5/3/2019,68.7
5/6/2019,68.19
5/7/2019,67.49
5/8/2019,67.1
5/9/2019,67.09
5/10/2019,67.16
5/13/2019,64.04
5/14/2019,66.15
5/15/2019,67.9
5/16/2019,69.8
5/17/2019,69.43
5/20/2019,68
5/21/2019,69.65
5/22/2019,69
5/23/2019,65.7
5/24/2019,66.12
5/28/2019,66.41
5/29/2019,66.2
5/30/2019,66.41
5/31/2019,59.55
6/3/2019,55.86
6/4/2019,57.68
6/5/2019,54.5
6/6/2019,53.23
6/7/2019,54.3
6/10/2019,54.2
6/11/2019,54.34
6/12/2019,53.03
6/13/2019,53.83
6/14/2019,51.32
6/17/2019,50.63
6/18/2019,51.51
6/19/2019,53.42
6/20/2019,54.41
6/21/2019,53.99
6/24/2019,53.3
6/25/2019,52.31
6/26/2019,53.23
6/27/2019,52.21
6/28/2019,50.8
7/1/2019,51.56
7/2/2019,52.18
7/3/2019,52.92
7/5/2019,52.37
7/8/2019,51.29
7/9/2019,51.1
7/10/2019,52.29
7/11/2019,53.48
7/12/2019,53.78
7/15/2019,55.22
7/16/2019,56.01
7/17/2019,56.5
7/18/2019,57.39
7/19/2019,56.8
7/22/2019,56.42
7/23/2019,55.46
7/24/2019,56.22
7/25/2019,55.07
7/26/2019,55.28
7/29/2019,55.97
7/30/2019,57.23
7/31/2019,57.74
8/1/2019,57.69
8/2/2019,52.41
8/5/2019,50.42
8/6/2019,50.77
8/7/2019,50.38
8/8/2019,51.33
8/9/2019,50.43
8/12/2019,49.51
8/13/2019,49.52
8/14/2019,48.6
8/15/2019,46.9
8/16/2019,48.43
8/19/2019,49.05
8/20/2019,48.47
8/21/2019,48.98
8/22/2019,49.04
8/23/2019,45.81
8/26/2019,46.41
8/27/2019,45.6
8/28/2019,45.3
8/29/2019,46.77
8/30/2019,51.53
9/3/2019,51.07
9/4/2019,51.2
9/5/2019,52.92
9/6/2019,53.36
9/9/2019,54.29
9/10/2019,55.48
9/11/2019,55.3
9/12/2019,54.15
9/13/2019,53.51
9/16/2019,54.1
9/17/2019,53.85
9/18/2019,52.8
9/19/2019,53.04
9/20/2019,51.85
9/23/2019,52.94
9/24/2019,52.2
9/25/2019,53.74
9/26/2019,52.15
9/27/2019,50.95
9/30/2019,51.86
10/1/2019,51.64
10/2/2019,50.78
10/3/2019,51.06
10/4/2019,50.27
10/7/2019,50.52
10/8/2019,48.81
10/9/2019,49.46
10/10/2019,49
10/11/2019,50.3
10/14/2019,50.68
10/15/2019,51.13
10/16/2019,50.54
10/17/2019,50.37
10/18/2019,49.87
10/21/2019,49.99
10/22/2019,49.98
10/23/2019,50.3
10/24/2019,51.01
10/25/2019,51.68
10/28/2019,51.59
10/29/2019,53.25
10/30/2019,53.75
10/31/2019,52.89
11/1/2019,53.24
11/4/2019,53.84
11/5/2019,54.43
11/6/2019,54.33
11/7/2019,54.33
11/8/2019,54.31
11/11/2019,54.52
11/12/2019,55.43
11/13/2019,54.78
11/14/2019,55.05
11/15/2019,55.64
11/18/2019,55.57
11/19/2019,56.21
11/20/2019,55.27
11/21/2019,53.71
11/22/2019,53.61
11/25/2019,55.06
11/26/2019,53.19
11/27/2019,50.32
11/29/2019,48.49
12/2/2019,47.72
12/3/2019,47.4
12/4/2019,47.68
12/5/2019,47.34
12/6/2019,47.12
12/9/2019,47.65
12/10/2019,47.36
12/11/2019,47.71
12/12/2019,49.5
12/13/2019,49.35
12/16/2019,49.49
12/17/2019,49.93
12/18/2019,50
12/19/2019,49.89
12/20/2019,49.62
12/23/2019,50.46
12/24/2019,50.83
12/26/2019,52.01
12/27/2019,50.98
12/30/2019,50.91
12/31/2019,51.39
1/2/2020,52.29
1/3/2020,50.57
1/6/2020,51.08
1/7/2020,49.8
1/8/2020,50
1/9/2020,49.62
1/10/2020,49.51
1/13/2020,49.83
1/14/2020,50.86
1/15/2020,50.6
1/16/2020,51.34
1/17/2020,50.34
1/21/2020,49.29
1/22/2020,49.94
1/23/2020,50.37
1/24/2020,49.98
1/27/2020,48.15
1/28/2020,48.68
1/29/2020,48.95
1/30/2020,49.38
1/31/2020,48.77
2/3/2020,49.18
2/4/2020,51.03
2/5/2020,50.79
2/6/2020,52.85
2/7/2020,51.62
2/10/2020,52.11
2/11/2020,52.26
2/12/2020,53.3
2/13/2020,52.55
2/14/2020,52.88
2/18/2020,52.77
2/19/2020,53.34
2/20/2020,52.95
2/21/2020,51.72
2/24/2020,48.31
2/25/2020,46.22
2/26/2020,45.93
2/27/2020,43.56
2/28/2020,40.46
3/2/2020,42.39
3/3/2020,41.78
3/4/2020,43.38
3/5/2020,40.85
3/6/2020,39.62
3/9/2020,36.25
3/10/2020,39.14
3/11/2020,36.94
3/12/2020,32.74
3/13/2020,35.95
3/16/2020,32.21
3/17/2020,31.32
3/18/2020,28.87
3/19/2020,31.96
3/20/2020,32.49
3/23/2020,33.94
3/24/2020,38.85
3/25/2020,39.34
3/26/2020,42.54
3/27/2020,38.75
3/30/2020,39.8
3/31/2020,39.55
4/1/2020,36.9
4/2/2020,37.14
4/3/2020,36.44
4/6/2020,38.91
4/7/2020,38.37
4/8/2020,40.38
4/9/2020,41.56
4/13/2020,40.46
4/14/2020,41.34
4/15/2020,40.45
4/16/2020,41.1
4/17/2020,41.51
4/20/2020,40.96
4/21/2020,37.4
4/22/2020,38.75
4/23/2020,38.91
4/24/2020,39.69
4/27/2020,40.19
4/28/2020,40.84
4/29/2020,43.39
4/30/2020,42.69
5/1/2020,40
5/4/2020,40.55
5/5/2020,40.19
5/6/2020,40.49
5/7/2020,41.75
5/8/2020,43.65
5/11/2020,43.37
5/12/2020,42.25
5/13/2020,41.03
5/14/2020,41.86
5/15/2020,42.09
5/18/2020,43.78
5/19/2020,44.04
5/20/2020,44.66
5/21/2020,44.39
5/22/2020,43.07
5/26/2020,44.46
5/27/2020,45.57
5/28/2020,45.58
5/29/2020,49.64
6/1/2020,49.37
6/2/2020,49.15
6/3/2020,48.81
6/4/2020,49.2
6/5/2020,50.52
6/8/2020,51.66
6/9/2020,50.03
6/10/2020,49.39
6/11/2020,46.59
6/12/2020,46.9
6/15/2020,47.06
6/16/2020,47.68
6/17/2020,47.52
6/18/2020,47.42
6/19/2020,48.92
6/22/2020,48.29
6/23/2020,49.01
6/24/2020,53.1
6/25/2020,51.6
6/26/2020,52.25
6/29/2020,53.76
6/30/2020,54.94
7/1/2020,54.28
7/2/2020,53.75
7/6/2020,54.06
7/7/2020,52.95
7/8/2020,54.15
7/9/2020,53.69
7/10/2020,53.43
7/13/2020,51.77
7/14/2020,52.5
7/15/2020,52.68
7/16/2020,59.1
7/17/2020,60.37
7/20/2020,61.45
7/21/2020,61.06
7/22/2020,61.76
7/23/2020,61.52
7/24/2020,60.8
7/27/2020,60.96
