Date,Close
6/20/2016,54.36
6/21/2016,54.77
6/22/2016,54.57
6/23/2016,54.12
6/24/2016,52.59
6/27/2016,51.89
6/28/2016,53.09
6/29/2016,55.13
6/30/2016,55.2
7/1/2016,55.61
7/5/2016,55.2
7/6/2016,55.8
7/7/2016,55.92
7/8/2016,56.72
7/11/2016,56.83
7/12/2016,58.06
7/13/2016,57.99
7/14/2016,58.49
7/15/2016,57.87
7/18/2016,57.74
7/19/2016,57.76
7/20/2016,57.76
7/21/2016,56.99
7/22/2016,56.73
7/25/2016,57.14
7/26/2016,56.37
7/27/2016,55.79
7/28/2016,55.45
7/29/2016,55.5
8/1/2016,55.41
8/2/2016,54.92
8/3/2016,54.75
8/4/2016,54.79
8/5/2016,55.85
8/8/2016,55.98
8/9/2016,55.77
8/10/2016,55.13
8/11/2016,56.73
8/12/2016,56.45
8/15/2016,56.77
8/16/2016,56.88
8/17/2016,56.86
8/18/2016,57.21
8/19/2016,58.9
8/22/2016,58.66
8/23/2016,59.62
8/24/2016,60.22
8/25/2016,59.24
8/26/2016,59
8/29/2016,58.63
8/30/2016,58
8/31/2016,57.64
9/1/2016,58.54
9/2/2016,58.02
9/6/2016,57.41
9/7/2016,57.72
9/8/2016,56.17
9/9/2016,55.33
9/12/2016,56.01
9/13/2016,55.37
9/14/2016,55.13
9/15/2016,55.47
9/16/2016,55.18
9/19/2016,54.95
9/20/2016,54.87
9/21/2016,55.34
9/22/2016,55.41
9/23/2016,55.15
9/26/2016,54.4
9/27/2016,55.34
9/28/2016,53.25
9/29/2016,52.16
9/30/2016,52.65
10/3/2016,52.67
10/4/2016,52.14
10/5/2016,52.12
10/6/2016,52.03
10/7/2016,51.79
10/10/2016,51.79
10/11/2016,51.82
10/12/2016,52.44
10/13/2016,52.03
10/14/2016,51.62
10/17/2016,51.03
10/18/2016,51.22
10/19/2016,51.8
10/20/2016,51.89
10/21/2016,51.77
10/24/2016,51.87
10/25/2016,51.05
10/26/2016,51.97
10/27/2016,51.89
10/28/2016,52.02
10/31/2016,50.18
11/1/2016,49.62
11/2/2016,49.72
11/3/2016,49.73
11/4/2016,49.96
11/7/2016,50.91
11/8/2016,51.08
11/9/2016,51.12
11/10/2016,50.39
11/11/2016,50.77
11/14/2016,50.21
11/15/2016,50.13
11/16/2016,50.68
11/17/2016,51.59
11/18/2016,51.1
11/21/2016,51.28
11/22/2016,51.71
11/23/2016,51.34
11/25/2016,51.52
11/28/2016,51.01
11/29/2016,50.63
11/30/2016,50.07
12/1/2016,50.65
12/2/2016,50.46
12/5/2016,51.85
12/6/2016,50.57
12/7/2016,52.1
12/8/2016,51.55
12/9/2016,51.72
12/12/2016,51.54
12/13/2016,52.3
12/14/2016,51.79
12/15/2016,51.29
12/16/2016,50.92
12/19/2016,50.85
12/20/2016,51.79
12/21/2016,52.3
12/22/2016,52.14
12/23/2016,51.91
12/27/2016,51.29
12/28/2016,51.02
12/29/2016,51.06
12/30/2016,50.83
1/3/2017,51.98
1/4/2017,53.07
1/5/2017,53.06
1/6/2017,53.91
1/9/2017,53.38
1/10/2017,53.11
1/11/2017,52.69
1/12/2017,52.4
1/13/2017,52.92
1/17/2017,53.65
1/18/2017,53.27
1/19/2017,52.93
1/20/2017,53.2
1/23/2017,53.24
1/24/2017,53.45
1/25/2017,53.86
1/26/2017,53.65
1/27/2017,53.19
1/30/2017,53.08
1/31/2017,52.9
2/1/2017,53.02
2/2/2017,52.8
2/3/2017,52.36
2/6/2017,52.8
2/7/2017,52.81
2/8/2017,53.88
2/9/2017,55.31
2/10/2017,56.22
2/13/2017,56.09
2/14/2017,56.45
2/15/2017,56.64
2/16/2017,56.29
2/17/2017,56.75
2/21/2017,57.36
2/22/2017,58.24
2/23/2017,57.39
2/24/2017,57.86
2/27/2017,57.69
2/28/2017,57.16
3/1/2017,57.95
3/2/2017,57.8
3/3/2017,56.7
3/6/2017,56.77
3/7/2017,56.55
3/8/2017,56.51
3/9/2017,56.36
3/10/2017,56.43
3/13/2017,56.67
3/14/2017,57.28
3/15/2017,57.66
3/16/2017,57.6
3/17/2017,57.8
3/20/2017,58.68
3/21/2017,58.01
3/22/2017,53.92
3/23/2017,55.37
3/24/2017,56.36
3/27/2017,55.93
3/28/2017,56.62
3/29/2017,56.68
3/30/2017,56.04
3/31/2017,55.73
4/3/2017,55.56
4/4/2017,55.04
4/5/2017,54.98
4/6/2017,55.14
4/7/2017,55.11
4/10/2017,54.9
4/11/2017,54.92
4/12/2017,55.57
4/13/2017,55.34
4/17/2017,56.24
4/18/2017,56.11
4/19/2017,55.86
4/20/2017,56.4
4/21/2017,55.85
4/24/2017,55.47
4/25/2017,55.45
4/26/2017,55.16
4/27/2017,55.47
4/28/2017,55.41
5/1/2017,54.99
5/2/2017,55.07
5/3/2017,54.53
5/4/2017,54.47
5/5/2017,53.95
5/8/2017,54.3
5/9/2017,54.89
5/10/2017,54.56
5/11/2017,54.24
5/12/2017,54.2
5/15/2017,53.77
5/16/2017,52.78
5/17/2017,51.8
5/18/2017,51.68
5/19/2017,51.77
5/22/2017,51.57
5/23/2017,52.2
5/24/2017,52.01
5/25/2017,52.35
5/26/2017,52.59
5/30/2017,52.92
5/31/2017,52.99
6/1/2017,52.3
6/2/2017,52.98
6/5/2017,53.01
6/6/2017,52.48
6/7/2017,53.23
6/8/2017,53.2
6/9/2017,53.46
6/12/2017,54.03
6/13/2017,54.31
6/14/2017,54.66
6/15/2017,52.9
6/16/2017,51.1
6/19/2017,52.02
6/20/2017,51.56
6/21/2017,52.59
6/22/2017,52.4
6/23/2017,52.85
6/26/2017,53.28
6/27/2017,52.95
6/28/2017,53.36
6/29/2017,53.17
6/30/2017,59
7/3/2017,58.65
7/5/2017,57.56
7/6/2017,57.16
7/7/2017,57.98
7/10/2017,58.73
7/11/2017,58.18
7/12/2017,58.22
7/13/2017,57.94
7/14/2017,58
7/17/2017,57.79
7/18/2017,57.65
7/19/2017,57.77
7/20/2017,59.1
7/21/2017,59.95
7/24/2017,58.95
7/25/2017,59.39
7/26/2017,58.36
7/27/2017,58.15
7/28/2017,58.67
7/31/2017,59.05
8/1/2017,59.84
8/2/2017,59.79
8/3/2017,60.14
8/4/2017,59.76
8/7/2017,59.79
8/8/2017,59.46
8/9/2017,59.9
8/10/2017,59.07
8/11/2017,58.97
8/14/2017,59.78
8/15/2017,58.56
8/16/2017,58.54
8/17/2017,57.46
8/18/2017,54.95
8/21/2017,53.61
8/22/2017,54.13
8/23/2017,53.61
8/24/2017,53.84
8/25/2017,53.9
8/28/2017,53.73
8/29/2017,52.73
8/30/2017,52.56
8/31/2017,52.81
9/1/2017,53.36
9/5/2017,53.01
9/6/2017,52.76
9/7/2017,52.39
9/8/2017,52.2
