Date,Close
8/24/2015,38.38
8/25/2015,37.99
8/26/2015,38.73
8/27/2015,39.27
8/28/2015,39.45
8/31/2015,39.32
9/1/2015,38.75
9/2/2015,38.9
9/3/2015,39.16
9/4/2015,38.52
9/8/2015,38.9
9/9/2015,38.3
9/10/2015,38.42
9/11/2015,38.13
9/14/2015,38.1
9/15/2015,38.5
9/16/2015,39.15
9/17/2015,39.38
9/18/2015,38.98
9/21/2015,39.19
9/22/2015,38.79
9/23/2015,38.76
9/24/2015,39.15
9/25/2015,39.62
9/28/2015,39.53
9/29/2015,39.66
9/30/2015,40.12
10/1/2015,39.8
10/2/2015,40.39
10/5/2015,41.01
10/6/2015,40.96
10/7/2015,41.52
10/8/2015,41.98
10/9/2015,42.02
10/12/2015,42
10/13/2015,41.65
10/14/2015,41.68
10/15/2015,41.92
10/16/2015,42.02
10/19/2015,41.99
10/20/2015,42.29
10/21/2015,42.19
10/22/2015,43.24
10/23/2015,42.79
10/26/2015,42.59
10/27/2015,42.61
10/28/2015,42.73
10/29/2015,42.79
10/30/2015,42.35
11/2/2015,42.24
11/3/2015,42.16
11/4/2015,41.97
11/5/2015,42.33
11/6/2015,41.96
11/9/2015,41.54
11/10/2015,41.77
11/11/2015,42.04
11/12/2015,41.58
11/13/2015,41.38
11/16/2015,41.96
11/17/2015,41.67
11/18/2015,42.28
11/19/2015,43.11
11/20/2015,42.43
11/23/2015,42.96
11/24/2015,43.36
11/25/2015,43.36
11/27/2015,43.15
11/30/2015,42.62
12/1/2015,42.89
12/2/2015,42.77
12/3/2015,42.46
12/4/2015,43.29
12/7/2015,43.2
12/8/2015,43.01
12/9/2015,42.66
12/10/2015,42.76
12/11/2015,42.27
12/14/2015,42.45
12/15/2015,43.07
12/16/2015,43.84
12/17/2015,43.49
12/18/2015,42.5
12/21/2015,42.78
12/22/2015,43.29
12/23/2015,43.67
12/24/2015,43.54
12/28/2015,43.49
12/29/2015,43.71
12/30/2015,43.57
12/31/2015,42.96
1/4/2016,42.4
1/5/2016,42.55
1/6/2016,42.32
1/7/2016,41.62
1/8/2016,41.51
1/11/2016,41.58
1/12/2016,42.12
1/13/2016,41.85
1/14/2016,41.88
1/15/2016,41.5
